SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.1.19,192.168.1.1,50060,53,2021-09-30 15:52:45,0.008112,71,8752.465483234714003944773176,87,10724.85207100591715976331361,64.0,8.0,79.0,79.0,71,0.0,1.0,0.10126582278481013,0.000016451136,0.004056,0.004056,0.004056,0.0,0,1.0,1,0E-12,0.000000,0.008112,0.008112,0.008112,-10,-10,0,False
192.168.1.19,192.168.1.1,58518,53,2021-09-30 15:52:45,0.005003,73,14591.24525284829102538476914,105,20987.40755546671996801918849,256.0,16.0,89.0,89.0,73,0.0,1.0,0.1797752808988764,0.00000625750225,0.0025015,0.0025015,0.0025015,0.0,0,1.0,1,0E-12,0.000000,0.005003,0.005003,0.005003,-10,-10,0,False
192.168.1.19,104.16.249.249,65418,443,2021-09-30 15:52:45,0.119272,1506,12626.60138171574216915956805,4306,36102.35428264806492722516601,159382.47222222222,399.2273440312202,242.16666666666666,54.0,54,1.4139813027332497,0.4713271009110832,1.6485643937971928,0.001878457180743055555555555553,0.04334117188936007018123969378,0.07654041666666666666666666667,0.1013115,0.030912,-1.714610998283674482004785024,1.0527730256843402,0.5662521028349084004364538619,0.00002011318358333333333333333333,0.004484772411542567154589882511,0.0080605,0.006675,0.002995,0.9268028828625317720675694621,1.129488753311718,0.5563888606838989088257406502,True
192.168.1.19,104.16.249.249,65419,443,2021-09-30 15:52:45,0.118269,1506,12733.68338279684448164776907,4252,35951.94006882615055509051400,164705.79206049154,405.8396137151862,250.34782608695653,54.0,54,1.4514193744385284,0.4838064581461762,1.6211030071985555,0.001819870736453686200378071834,0.04265994299637173917889327181,0.07279826086956521739130434783,0.096814,0.113273,-1.688872800355875272488080539,-0.94877621223913,0.5860022270697759150448799849,0.0000237454658888888888888888889,0.004872931960215419310804668348,0.007619333333333333333333333333,0.0084005,0.0,-0.4809219622053578031799346248,1.5636034723120786,0.6395483367156469477825708743,True
192.168.1.19,104.16.249.249,65420,443,2021-09-30 15:52:45,0.118269,1506,12733.68338279684448164776907,4252,35951.94006882615055509051400,164705.7920604915,405.83961371518615,250.34782608695653,54.0,54,1.4514193744385286,0.48380645814617623,1.6211030071985553,0.001802214577330812854442344046,0.04245249789271313130892641291,0.07163186956521739130434782609,0.097809,0.113273,-1.849865030387942134721884223,-0.9808876391683471,0.5926481906780635168493180391,0.00001014264224489795918367346939,0.003184751520118635438104664916,0.007319428571428571428571428571,0.006997,0.003112,0.3037240764860932845515757161,1.3211167479941541,0.4351093106571638704569571085,True
192.168.1.19,104.16.249.249,65421,443,2021-09-30 15:52:45,19.256458,40469,2101.580674909165538127520648,75953,3944.287158105607999145014104,26745.171379937063,163.53951014949587,151.59114583333334,85.0,54,1.2215606939104915,0.5967435376571855,1.0788196714951883,23.68395569234362101067437082,4.866616452150674777960873496,6.727856009114583333333333333,4.9514395,0.11427,1.095062571653582140597019744,1.3589700511927296,0.7233532414423869029594942584,0.0001651080609739102040816326535,0.01284943815790831393351977900,0.006279325714285714285714285714,0.002998,0.0,0.7661017565035378345855497126,0.4886848465371259,2.046308591490219093920877151,True
192.168.1.19,192.168.1.1,50934,53,2021-09-30 15:52:45,0.008456,86,10170.29328287606433301797540,118,13954.58845789971617786187323,256.0,16.0,102.0,102.0,86,0.0,1.0,0.1568627450980392,0.000017875984,0.004228,0.004228,0.004228,0.0,0,1.0,1,0E-12,0.000000,0.008456,0.008456,0.008456,-10,-10,0,False
192.168.1.19,104.16.249.249,65422,443,2021-09-30 15:52:45,0.113272,1506,13295.43046825340772653435977,4251,37529.13341337665089342467688,164695.3421550095,405.8267390833304,250.30434782608697,54.0,54,1.4511440148287924,0.4837146716095975,1.621333159443564,0.001347926802245746691871455576,0.03671412265390181827423065753,0.07272556521739130434782608696,0.092812,0.108276,-1.641311299084576886547288275,-0.9683040806323217,0.5048310390459797764480316252,0.00006357438222222222222222222223,0.007973354515022031943804880274,0.009148333333333333333333333333,0.007257,0.0,0.7116201831123925165285654123,1.1473631726894378,0.8715636197874328960253102869,True
192.168.1.19,192.168.1.1,49506,53,2021-09-30 15:52:45,0.016449,86,5228.281354489634628244878108,142,8632.743631831722293148519667,784.0,28.0,114.0,114.0,86,0.0,1.0,0.24561403508771928,0.00006764240025,0.0082245,0.0082245,0.0082245,0.0,0,1.0,1,0E-12,0.000000,0.016449,0.016449,0.016449,-10,-10,0,False
192.168.1.19,34.107.221.82,65423,80,2021-09-30 15:52:45,19.238564,694,36.07337844965975631029426105,514,26.71717078260102988975684464,9542.388888888889,97.68515183429307,100.66666666666667,54.5,54,1.4178203892741312,0.47772528158454486,0.9703823029896662,67.01938634577641666666666667,8.186536895768345382328867648,6.5067365,0.0790255,0.01174,2.355468893075841485325143448,0.7933753408425107,1.258163273673114837573162468,0.0001081712651875,0.01040054158145141978259815681,0.02214675,0.020424,0.01174,0.4969212381417890244680736776,1.0005969322366493,0.4696193157664858176751964424,False
192.168.1.19,104.16.249.249,65424,443,2021-09-30 15:52:46,0.063108,1452,23008.17645940292831336756037,4251,67360.71496482220954554097737,170350.26652892565,412.7351045512432,259.22727272727275,60.0,54,1.44810027446457,0.49723726056791645,1.5921746975499473,0.0003625546734297520661157024794,0.01904086850513263919892515655,0.03841454545454545454545454545,0.042149,0.058112,-0.5883851166423247894335185890,-1.0344829880078694,0.4956681975493634778213193915,0.000006585835333333333333333333333,0.002566288240500924972691767372,0.007340,0.008201,0.004,-1.006512035255951212333606548,1.3014905914653028,0.3496305504769652551351181706,True
192.168.1.19,52.202.62.233,65425,443,2021-09-30 15:52:46,4.668169,1582,338.8909013362626760085164012,5500,1178.192134860584524681947033,223310.94896030237,472.5578789527293,307.9130434782609,66.0,54,1.5357677075306566,0.5373162839671121,1.534712117468621,1.827855433374253308128544423,1.351982038850462431737298745,3.627181086956521739130434783,3.949488,3.934768,-0.7151875626636059116915084635,-0.227508135614736,0.3727362947806052997312965594,0.02508807430725,0.1583921535532931631211133156,0.2282445,0.3118055,0.005065,-1.582673095707700852385040096,1.4090312871774184,0.6939582489536140547575661871,False
192.168.1.19,34.117.237.239,65426,443,2021-09-30 15:52:46,19.107868,1946,101.8428638925075262190423338,6862,359.1190812078040313027073455,184495.44000000006,429.5293237952446,293.6,85.0,54,1.456943601592885,0.5578198896478991,1.4629745360873452,31.54341857617374333333333333,5.616352782382330310780249422,2.2831677,0.562815,0.811399,0.9189341018942893817734163394,0.2620506148788803,2.459894988170308431912491326,0.003409470725551020408163265307,0.05839067327537010347812373577,0.03984785714285714285714285714,0.014741,0.005119,1.289941821245321419301761112,0.5947671981632415,1.465340358605376608696886911,False
192.168.1.19,54.192.171.71,65427,443,2021-09-30 15:52:46,19.126571,1811,94.68503266999610123529199249,9935,519.4344558677036254956520957,310840.5850178358,557.530792887564,405.0344827586207,66.0,54,1.824300040914474,0.6296234884902816,1.3765020427157633,53.02651390346167895362663497,7.281930643961234471325262200,4.188403103448275862068965517,0.384184,0.05932,1.567257073480798059524830881,0.5670313691977341,1.738593555612181711822130579,0.0001452925329375,0.01205373522761720529737910501,0.01955275,0.027304,0.0,-1.929173783967115152310504904,1.6221320305096172,0.6164726305822559638607922164,False
192.168.1.19,52.13.148.70,65430,443,2021-09-30 15:52:46,18.959404,2204,116.2483799596232033454216177,4190,220.9985081809533675214685019,178677.3922902494,422.70248673298505,304.4761904761905,89.0,54,1.5292755347259428,0.5925590653892051,1.388294060274114,41.14827006851415419501133786,6.414691736047349157528487034,3.235245809523809523809523810,0.574038,0.553837,1.244584113638301661667637005,0.41801054826308137,1.982752505903567499708025832,0.0115523133472,0.1074816884273781772823845750,0.213937,0.273735,0.0,-1.669065704352147330524246123,1.990450681694958,0.5023987829472142606579720899,False
192.168.1.19,54.192.171.71,65431,443,2021-09-30 15:52:46,0.058173,907,15591.42557543877743970570540,3106,53392.46729582452340432846853,275955.24305555556,525.3144230416252,334.4166666666667,54.0,54,1.6014218591773568,0.5338072863924523,1.5708380454770752,0.0004861522206666666666666666667,0.02204885984958557140918320354,0.035888,0.046077,0.056173,-1.386330187071987528000683882,-0.9200022195424891,0.6143797327682114191145564963,0.0000777520231875,0.008817710767965798956221719331,0.00862125,0.006456,0.0,0.7366707948279116099608598799,0.9777197536712671,1.022787967866121381031952365,False
192.168.1.19,54.192.171.71,65432,443,2021-09-30 15:52:46,5.745515,1103,191.9758281024416436124524956,4423,769.8178492267446869427718838,255571.93771626303,505.5412324590973,325.05882352941177,54.0,54,1.608526502640966,0.536175500880322,1.5552299948976933,6.771520665907003460207612459,2.602214569536302373403550071,1.704698764705882352941176471,0.028910,0.010477,1.931956862040585250600020214,0.6510692025707094,1.526495251485250864845238008,0.00006655450380555555555555555557,0.008158094373415617429532695706,0.01100916666666666666666666667,0.010787,0.00011,0.08169800072084124282812383344,1.3359941878318111,0.7410274201876270468124468128,False
192.168.1.19,35.227.207.240,65433,443,2021-09-30 15:52:46,18.936127,3256,171.9464598014155692977766784,5035,265.8938652027418278299464299,130846.6474609375,361.72731091381183,259.09375,85.0,54,1.4438535168400461,0.5669844211704196,1.3961251898735954,38.5262529037535,6.206951981750261615278082454,2.492955,0.1244105,0.032108,1.144786284941795942131580189,0.3964662538449476,2.489797040760969056913615550,0.005371517707359375,0.07329063860657358878543587919,0.044499125,0.0135525,0.0,1.266735790069551936149844589,0.6071597388975238,1.647013027931978185760638646,False
192.168.1.19,52.202.62.233,65434,443,2021-09-30 15:52:46,18.867732,5190,275.0728068429210251661407953,48466,2568.724211261851715934909400,374354.1461176186,611.8448709580057,589.6263736263736,225.0,1466,1.7878373633603604,-1.4323461190439182,1.0376823329577032,15.73269615350320516845791571,3.966446287737072731588289815,5.586985120879120879120879121,4.414877,4.414877,0.8865175796048627302039756644,0.29550585986828776,0.7099439504347464919963033025,0.02706616666360664819944598338,0.1645179827970384768157916314,0.1577538421052631578947368421,0.011733,0.0,2.662702999806505835365729178,0.9588850982927498,1.042877819021750762096724643,False
192.168.1.19,35.227.207.240,65435,443,2021-09-30 15:52:46,0.089877,1191,13251.44363964084248472912981,4248,47264.59494642678327046964184,169860.19047619047,412.1409837375925,259.0,66.0,54,1.404859072129176,0.49740260757596044,1.591277929488774,0.00082739054975963718820861678,0.02876439726049612860562284274,0.04414704761904761904761904762,0.031316,0.026249,1.338221778420777068558505992,0.6222291903758429,0.6515587975148191980891562587,0.00001507052247222222222222222222,0.003882077082210272421656413639,0.008321166666666666666666666667,0.0088025,0.003067,-0.3719658238155987870858230281,1.35344212786089,0.4665303842262029469012454550,False
192.168.1.19,117.18.237.29,65436,80,2021-09-30 15:52:46,18.842102,1347,71.48883919639114574371797796,1880,99.77655359258749368833689575,68952.58984375,262.5882515341271,201.6875,54.5,54,1.6815775169690432,0.5624299607357182,1.301956003887832,55.64976618784449609375,7.459877089325567171864432177,4.9663445625,0.463020,0.011848,1.811018268227447454157159007,0.6641525729142981,1.502086090774650550006906046,6.9146624E-7,0.0008315444906918691142558813232,0.0120966,0.011913,0.010772,0.6623818763343840302776595901,1.592939421555057,0.06874200111534390773075751229,False
192.168.1.19,117.18.237.29,65437,80,2021-09-30 15:52:46,18.838102,815,43.26338184175879289750103275,1033,54.83567293562801602836633967,50527.5,224.78322891176734,154.0,54.5,54,1.3279460458198518,0.4448730471758297,1.4596313565699177,64.63472060900607638888888891,8.039572165793779127875942364,6.390955583333333333333333333,0.027261,0.010849,2.374639266406169626576409133,0.7935878242972896,1.257960888784737284195011009,0.0000046739685,0.002161936284907582562034537252,0.012279,0.0118225,0.00991,0.6334599264374448220406917092,1.0957769738812022,0.1760677811635786759536230354,False
192.168.1.19,224.0.0.251,5353,5353,2021-09-30 15:52:46,10.570624,2130,201.5018224089703692043156582,0,0E+6,0.0,0.0,71.0,71.0,71,-10,-10,0.0,7.840065668884076666666666667,2.800011726561886502319410327,5.7017307,5.7272845,5.647261,-0.02737895676391754287487866416,0.019453382813822116,0.4910810197615763407274584762,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
fe80::c576:e922:2bc0:4471,ff02::fb,5353,5353,2021-09-30 15:52:46,10.571616,2730,258.2386647415116099563207744,0,0E+6,0.0,0.0,91.0,91.0,91,-10,-10,0.0,7.84065517396811222222222221,2.800116992907280690756056802,5.702250433333333333333333333,5.7272845,5.650263,-0.02682109361510054350545461609,0.01856616472276616,0.4910547205255647851891183106,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
fe80::c576:e922:2bc0:4471,ff02::1:3,64296,5355,2021-09-30 15:52:46,0.413614,170,411.0112326952182469645611609,0,0E+6,0.0,0.0,85.0,85.0,85,-10,-10,0.0,0.042769135249,0.206807,0.206807,0.206807,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,224.0.0.252,64296,5355,2021-09-30 15:52:46,0.414605,130,313.5514525874024674087384378,0,0E+6,0.0,0.0,65.0,65.0,65,-10,-10,0.0,0.04297432650625,0.2073025,0.2073025,0.2073025,0.0,0,1.0,1,-1,-1,-1,nan,-1,nan,-0.0,1.0,False
192.168.1.19,52.13.148.70,65440,443,2021-09-30 15:52:46,0.846728,1195,1411.315085836301622244687786,3919,4628.404871458130592114586975,202507.98765432098,450.00887508394874,284.1111111111111,60.0,54,1.4940446079155885,0.5113479396782654,1.5839186060835115,0.05937000076720061728395061728,0.2436596001950274424769533274,0.5628862777777777777777777778,0.537118,0.528976,0.3172656988333634935959803605,0.13917070269603854,0.4328753601117666026071340731,0.0177780005572,0.1333341687535494406511136759,0.164401,0.260854,0.000777,-2.170178902415042646625258152,1.2271723109658206,0.8110301564683270822629647989,False
192.168.1.19,23.63.111.227,65441,80,2021-09-30 15:52:46,18.603568,1876,100.8408709555070296192644336,3068,164.9146013280893213602895961,112773.2222222222,335.81724527221974,274.6666666666667,60.5,54,1.9132430184732696,0.6571034387700672,1.2226356017192466,54.23816433608124691358024693,7.364656430281133414223724414,6.221195444444444444444444444,1.9881575,0.001047,1.724332146862764913750372961,0.8445945175214373,1.183800846002644842303593701,0.00002794350913888888888888888888,0.005286162042435786785203791409,0.009858833333333333333333333333,0.010522,0.001047,-0.3763600101602763695780377840,1.6669623940005005,0.5361853541598012055385652199,False
